İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
39322511,03 Nisan 2026,Tesla,Model Y,Standart Range,2025,39.000 km,,Elektrik,-,Füme,,,,,,Tamamı orjinal,,Sahibinden,İkinci El,2900000.0
31165715,03 Nisan 2026,Tesla,Model Y,Performance,2023,22.800 km,Otomatik,Elektrik,SUV,Gri,,534 hp,4WD (Sürekli),,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,3120000.0
39294498,02 Nisan 2026,Tesla,Model Y,Long Range AWD,2023,30.000 km,,Elektrik,Hatchback/5,Bordo,,,,,,Tamamı orjinal,,Sahibinden,İkinci El,2575000.0
39289737,02 Nisan 2026,Tesla,Model Y,Standart Range,2025,6.100 km,Otomatik,Elektrik,SUV,Gri (Gümüş),,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3200000.0
33141360,02 Nisan 2026,Tesla,Model Y,Standart Range,2024,25.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,3 lokal boyalı,,Sahibinden,İkinci El,2325000.0
37633777,02 Nisan 2026,Tesla,Model Y,Performance,2025,27.000 km,Otomatik,Elektrik,SUV,Siyah,,534 hp,4WD (Sürekli),,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,2820000.0
39247108,01 Nisan 2026,Tesla,Model Y,Performance,2023,39.500 km,Otomatik,Elektrik,SUV,Gri,,534 hp,4WD (Sürekli),,,Tamamı orjinal,,Sahibinden,İkinci El,2875000.0
39171646,29 Mart 2026,Tesla,Model Y,Standart Range,2025,10.000 km,Otomatik,Elektrik,SUV,Gri (Gümüş),,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3095000.0
35226413,29 Mart 2026,Tesla,Model Y,Standart Range,2025,9.950 km,Otomatik,Elektrik,SUV,Gri,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2895000.0
36959104,28 Mart 2026,Tesla,Model Y,Standart Range,2025,11.200 km,Otomatik,Elektrik,SUV,Gri,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3290000.0
33012205,28 Mart 2026,Tesla,Model Y,Performance,2023,9.000 km,Otomatik,Elektrik,SUV,Beyaz,,534 hp,4WD (Sürekli),,,Tamamı orjinal,,Sahibinden,İkinci El,3300000.0
39050824,25 Mart 2026,Tesla,Model Y,Standart Range,2025,6.000 km,Otomatik,Elektrik,SUV,Gri (metalik),,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3200000.0
36846597,25 Mart 2026,Tesla,Model Y,Standart Range,2025,13.800 km,Otomatik,Elektrik,SUV,Siyah,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2880000.0
38992941,25 Mart 2026,Tesla,Model Y,Long Range AWD,2023,45.000 km,Otomatik,Elektrik,SUV,Lacivert,,351 hp,4WD (Sürekli),,,2 değişen,,Sahibinden,İkinci El,2365000.0
38950992,24 Mart 2026,Tesla,Model Y,Standart Range,2025,8.500 km,Otomatik,Elektrik,SUV,Kırmızı,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3000000.0
38861100,19 Mart 2026,Tesla,Model Y,Long Range AWD,2023,99.000 km,,Elektrik,,Beyaz,,,,,,1 lokal boyalı,,Sahibinden,İkinci El,2124000.0
38807233,18 Mart 2026,Tesla,Model Y,Standart Range,2025,18.400 km,Otomatik,Elektrik,Hatchback/5,Siyah,,,,,,1 boyalı,,Sahibinden,İkinci El,2250000.0
38823008,18 Mart 2026,Tesla,Model Y,Standart Range,2024,62.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2240000.0
38801034,17 Mart 2026,Tesla,Model Y,Standart Range,2025,9.700 km,Otomatik,Elektrik,SUV,Gri,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2995000.0
38616564,10 Mart 2026,Tesla,Model Y,Long Range AWD,2023,25.500 km,Otomatik,Elektrik,SUV,Beyaz,,351 hp,4WD (Sürekli),,,Belirtilmemiş,,Sahibinden,İkinci El,2550000.0
38596674,10 Mart 2026,Tesla,Model Y,Standart Range,2025,6.001 km,Otomatik,Elektrik,SUV,Gri (Gümüş),,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3125000.0
38542127,08 Mart 2026,Tesla,Model Y,Standart Range,2024,55.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2410000.0
38485160,05 Mart 2026,Tesla,Model Y,Performance,2023,15.340 km,Otomatik,Elektrik,SUV,Gri (Gümüş),,534 hp,4WD (Sürekli),,,Tamamı orjinal,,Sahibinden,İkinci El,3190000.0
38484657,05 Mart 2026,Tesla,Model Y,Standart Range,2025,6.000 km,Otomatik,Elektrik,SUV,Mavi,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3250000.0
38408355,04 Mart 2026,Tesla,Model Y,Standart Range,2026,6.001 km,,Elektrik,,Füme,,,,,,Belirtilmemiş,,Sahibinden,İkinci El,3750000.0
38393224,03 Mart 2026,Tesla,Model Y,Long Range AWD,2023,69.000 km,Otomatik,Elektrik,SUV,Beyaz,,351 hp,4WD (Sürekli),,,1 değişen,,Sahibinden,İkinci El,2149000.0
36167082,26 Şubat 2026,Tesla,Model Y,Standart Range,2024,25.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2195000.0
37907058,15 Şubat 2026,Tesla,Model Y,Standart Range,2025,12.500 km,Otomatik,Elektrik,SUV,Gri (titanyum),,217 hp,Arkadan İtiş,,,Belirtilmemiş,,Sahibinden,İkinci El,3050000.0
37882780,15 Şubat 2026,Tesla,Model Y,Standart Range,2025,6.100 km,Otomatik,Elektrik,SUV,Siyah,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3090000.0
37895530,14 Şubat 2026,Tesla,Model Y,Standart Range,2024,68.000 km,Otomatik,Elektrik,SUV,Siyah,,204 hp,Arkadan İtiş,,,Belirtilmemiş,,Sahibinden,İkinci El,2200000.0
37552475,05 Şubat 2026,Tesla,Model Y,Long Range AWD,2025,11.670 km,,Elektrik,,Mavi (metalik),,,,,,Tamamı orjinal,,Sahibinden,İkinci El,3350000.0
37382662,30 Ocak 2026,Tesla,Model Y,Standart Range,2025,19.000 km,Otomatik,Elektrik,SUV,Siyah,,217 hp,Arkadan İtiş,,,1 değişen,,Sahibinden,İkinci El,2350000.0
37376753,30 Ocak 2026,Tesla,Model Y,Standart Range,2025,17.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2550000.0
30642922,29 Ocak 2026,Tesla,Model Y,Standart Range,2025,34.380 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,1 değişen,,Sahibinden,İkinci El,2350000.0
37282084,28 Ocak 2026,Tesla,Model Y,Standart Range,2025,21.488 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2435000.0
37038403,21 Ocak 2026,Tesla,Model Y,Standart Range,2024,17.200 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2600000.0
36880719,16 Ocak 2026,Tesla,Model Y,Standart Range,2025,12.000 km,Otomatik,Elektrik,SUV,Siyah,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3000000.0
36810153,14 Ocak 2026,Tesla,Model Y,Standart Range,2024,47.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2350000.0
36559939,05 Ocak 2026,Tesla,Model Y,Standart Range,2024,27.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,3 boyalı,,Sahibinden,İkinci El,2100000.0
36543084,05 Ocak 2026,Tesla,Model Y,Standart Range,2025,17.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2400000.0
36535321,05 Ocak 2026,Tesla,Model Y,Standart Range,2025,15.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3000000.0
36460340,02 Ocak 2026,Tesla,Model Y,Standart Range,2024,57.000 km,Otomatik,Elektrik,SUV,Beyaz,,204 hp,Arkadan İtiş,,,Belirtilmemiş,,Sahibinden,İkinci El,2280000.0
36079822,23 Aralık 2025,Tesla,Model Y,Long Range AWD,2023,36.000 km,Otomatik,Elektrik,SUV,Siyah,,351 hp,4WD (Sürekli),,,Tamamı orjinal,,Sahibinden,İkinci El,2375000.0
35825315,15 Aralık 2025,Tesla,Model Y,Standart Range,2024,49.850 km,Otomatik,Elektrik,SUV,Siyah,,217 hp,Arkadan İtiş,,,Belirtilmemiş,,Sahibinden,İkinci El,2350000.0
33360351,09 Aralık 2025,Tesla,Model Y,Long Range AWD,2023,35.500 km,Otomatik,Elektrik,SUV,Beyaz,,351 hp,4WD (Sürekli),,,Belirtilmemiş,,Sahibinden,İkinci El,2375000.0
35486760,05 Aralık 2025,Tesla,Model Y,Standart Range,2025,6.001 km,Otomatik,Elektrik,SUV,Siyah,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2900000.0
35516487,05 Aralık 2025,Tesla,Model Y,Standart Range,2025,9.000 km,Otomatik,Elektrik,SUV,Gri (metalik),,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3000000.0
35373074,02 Aralık 2025,Tesla,Model Y,Standart Range,2025,11.500 km,Otomatik,Elektrik,SUV,Mavi,,217 hp,Arkadan İtiş,,,Belirtilmemiş,,Sahibinden,İkinci El,3050000.0
33226785,01 Aralık 2025,Tesla,Model Y,Standart Range,2025,11.500 km,Otomatik,Elektrik,SUV,Siyah,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3000000.0
35132292,26 Kasım 2025,Tesla,Model Y,Standart Range,2025,6.900 km,Otomatik,Elektrik,SUV,Siyah,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3100000.0
35116952,25 Kasım 2025,Tesla,Model Y,Performance,2023,52.100 km,Otomatik,Elektrik,SUV,Beyaz,,534 hp,4WD (Sürekli),,,Tamamı orjinal,,Sahibinden,İkinci El,2950000.0
35124660,25 Kasım 2025,Tesla,Model Y,Standart Range,2024,42.000 km,Otomatik,Elektrik,SUV,Beyaz,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,2375000.0
35049939,23 Kasım 2025,Tesla,Model Y,Standart Range,2025,6.001 km,Otomatik,Elektrik,SUV,Füme,,217 hp,Arkadan İtiş,,,Tamamı orjinal,,Sahibinden,İkinci El,3125000.0
34721967,16 Kasım 2025,Tesla,Model Y,Long Range AWD,2023,16.000 km,,Elektrik,,Bordo,,,,,,Tamamı orjinal,,Sahibinden,İkinci El,2750000.0
34925950,02 Mayıs 2026,The London Taxi,TX4,,2022,6.500 km,Otomatik,Elektrik,Hatchback/5,Siyah,,150 hp,Arkadan İtiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,8750000.0
39636934,13 Mayıs 2026,Tofaş,Doğan,SLX,1994,200.000 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,215000.0
40388585,12 Mayıs 2026,Tofaş,Doğan,L,1990,240.000 km,Düz,LPG & Benzin,Sedan,Füme,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,"12 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,210000.0
40332492,10 Mayıs 2026,Tofaş,Doğan,SL,1992,165.154 km,Düz,LPG & Benzin,Sedan,Gri,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",45 lt,Tamamı boyalı,Takasa Uygun Değil,Galeriden,İkinci El,120000.0
40304248,08 Mayıs 2026,Tofaş,Şahin,1.6,1993,80.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,76 - 100 HP,Arkadan İtiş,,52 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,107500.0
39479219,08 Mayıs 2026,Tofaş,Kartal,S,1996,245.000 km,Düz,LPG & Benzin,Station wagon,Kırmızı,1581 cc,83 hp,Arkadan İtiş,"6,6 lt",52 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,175000.0
39890475,07 Mayıs 2026,Tofaş,Kartal,1.6 ie,2001,88.900 km,Düz,LPG & Benzin,Station wagon,Gri,1401 - 1600 cm3,76 - 100 HP,Arkadan İtiş,,,Tamamı boyalı,Takasa Uygun,Galeriden,İkinci El,225750.0
39391442,05 Mayıs 2026,Tofaş,Doğan,SL,1993,88.000 km,Düz,LPG & Benzin,Sedan,Siyah,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",45 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,177500.0
40093275,30 Nisan 2026,Tofaş,Doğan,S,1994,123.456 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,179000.0
39224497,30 Nisan 2026,Tofaş,Doğan,L,1991,49.000 km,Düz,LPG & Benzin,Sedan,Altın,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı boyalı,Takasa Uygun,Galeriden,İkinci El,105900.0
40433900,14 Mayıs 2026,Tofaş,Şahin,1.4,1999,100.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1372 cc,71 hp,Arkadan İtiş,"6,6 lt",52 lt,Tamamı orjinal,,Sahibinden,İkinci El,230000.0
36723939,14 Mayıs 2026,Tofaş,Şahin,1.6,1993,73.510 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,,Arkadan İtiş,,52 lt,Belirtilmemiş,,Sahibinden,İkinci El,134000.0
40438869,14 Mayıs 2026,Tofaş,Şahin,1.6 ie,2001,32.000 km,Düz,LPG & Benzin,Sedan,Gri (metalik),1581 cc,83 hp,Arkadan İtiş,,52 lt,Belirtilmemiş,,Sahibinden,İkinci El,180000.0
40435193,14 Mayıs 2026,Tofaş,Doğan,SLX,1993,28.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,Arkadan İtiş,,50 lt,2 boyalı,,Sahibinden,İkinci El,165000.0
40441035,14 Mayıs 2026,Tofaş,Şahin,1.6,1994,250.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,,Arkadan İtiş,,52 lt,Belirtilmemiş,,Sahibinden,İkinci El,140000.0
40429373,14 Mayıs 2026,Tofaş,Doğan,SLX,1994,97.000 km,Düz,LPG & Benzin,Sedan,Turkuaz,1581 cc,83 hp,Arkadan İtiş,,50 lt,Belirtilmemiş,,Sahibinden,İkinci El,215000.0
40439104,14 Mayıs 2026,Tofaş,Şahin,S,1998,22.222 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,80 hp,Arkadan İtiş,,52 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,190000.0
40430157,14 Mayıs 2026,Tofaş,Doğan,SL,1992,46.556 km,Düz,LPG & Benzin,Sedan,Diğer,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",45 lt,Belirtilmemiş,,Sahibinden,İkinci El,130000.0
40426906,14 Mayıs 2026,Tofaş,Doğan,SLX,1996,20.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1581 cc,83 hp,Arkadan İtiş,,50 lt,Belirtilmemiş,,Sahibinden,İkinci El,195000.0
40440178,14 Mayıs 2026,Tofaş,Doğan,SLX,1995,175.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,Arkadan İtiş,,50 lt,11 boyalı,Takasa Uygun,Sahibinden,İkinci El,265000.0
38658953,14 Mayıs 2026,Tofaş,Doğan,SLX,1996,90.271 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,230000.0
40440201,14 Mayıs 2026,Tofaş,Şahin,1.6,1993,290.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,,Arkadan İtiş,,52 lt,Tamamı boyalı,,Sahibinden,İkinci El,160000.0
40431250,14 Mayıs 2026,Tofaş,Doğan,S,1994,7.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı orjinal,,Sahibinden,İkinci El,115000.0
40428819,14 Mayıs 2026,Tofaş,Kartal,SLX,1994,78.985 km,Düz,LPG & Benzin,Station wagon,Beyaz,1581 cc,83 hp,Arkadan İtiş,,52 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,140000.0
38640647,14 Mayıs 2026,Tofaş,Doğan,SLX,1994,200.000 km,Düz,Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı orjinal,,Sahibinden,İkinci El,190000.0
40428766,14 Mayıs 2026,Tofaş,Şahin,1.6,1993,5.000.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,,Arkadan İtiş,,52 lt,Belirtilmemiş,,Sahibinden,İkinci El,120000.0
40426889,14 Mayıs 2026,Tofaş,Şahin,1.6,1993,111.111 km,Düz,LPG & Benzin,Sedan,Kırmızı,,,,,,"1 değişen, 10 boyalı",,Sahibinden,İkinci El,170000.0
38683496,14 Mayıs 2026,Tofaş,Murat,124,1972,250.000 km,Düz,LPG & Benzin,Sedan,Mavi,1239 cc,65 hp,Arkadan İtiş,,,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,350000.0
40439057,14 Mayıs 2026,Tofaş,Şahin,1.6,1993,110.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,101 - 125 HP,Arkadan İtiş,,52 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,140000.0
40426098,14 Mayıs 2026,Tofaş,Şahin,1.6,1993,98.500 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,76 - 100 HP,Arkadan İtiş,,52 lt,"1 değişen, 12 boyalı",Takasa Uygun,Sahibinden,İkinci El,185000.0
40439084,14 Mayıs 2026,Tofaş,Şahin,1.6,1991,166.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,76 - 100 HP,Arkadan İtiş,,52 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,87500.0
40424658,14 Mayıs 2026,Tofaş,Şahin,S,1994,100.000 km,Düz,Benzin,Sedan,Beyaz,1581 cc,80 hp,Arkadan İtiş,"6,8 lt",52 lt,Tamamı orjinal,,Sahibinden,İkinci El,159000.0
40424277,14 Mayıs 2026,Tofaş,Doğan,SLX,1994,130.000 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı boyalı,,Sahibinden,İkinci El,180000.0
40438456,14 Mayıs 2026,Tofaş,Şahin,S,1997,250.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,80 hp,Arkadan İtiş,,52 lt,Tamamı boyalı,,Sahibinden,İkinci El,165250.0
40438244,14 Mayıs 2026,Tofaş,Şahin,1.6,1991,68.000 km,Düz,LPG & Benzin,Sedan,Bej,1581 cc,,Arkadan İtiş,,52 lt,Belirtilmemiş,,Sahibinden,İkinci El,140000.0
40436127,14 Mayıs 2026,Tofaş,Doğan,SLX,1996,243.000 km,Düz,LPG & Benzin,Sedan,Gri,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı orjinal,,Sahibinden,İkinci El,210000.0
34109352,14 Mayıs 2026,Tofaş,Şahin,S,1997,207.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1401 - 1600 cm3,76 - 100 HP,Arkadan İtiş,,,11 boyalı,Takasa Uygun,Galeriden,İkinci El,175000.0
39569598,14 Mayıs 2026,Tofaş,Kartal,1.6,1988,243.000 km,Düz,LPG & Benzin,Station wagon,Bej,1401 - 1600 cm3,51 - 75 HP,Arkadan İtiş,,,Tamamı boyalı,Takasa Uygun,Galeriden,İkinci El,135000.0
29975984,14 Mayıs 2026,Tofaş,Kartal,Kartal 5 Vites,1992,238.000 km,Düz,LPG & Benzin,Station wagon,Bej,1581 cc,83 hp,Arkadan İtiş,,52 lt,2 boyalı,Takasa Uygun,Galeriden,İkinci El,210000.0
40189336,14 Mayıs 2026,Tofaş,Doğan,S,1995,200.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,11 boyalı,Takasa Uygun,Galeriden,İkinci El,195000.0
38682881,14 Mayıs 2026,Tofaş,Doğan,L,1988,119.000 km,Düz,LPG & Benzin,Sedan,Altın,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı boyalı,Takasa Uygun,Sahibinden,İkinci El,85000.0
40101099,14 Mayıs 2026,Tofaş,Doğan,SLX,1993,22.222 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,144000.0
40097462,14 Mayıs 2026,Tofaş,Serçe,,1993,100.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1239 cc,65 hp,Arkadan İtiş,,44 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,89500.0
40090114,14 Mayıs 2026,Tofaş,Şahin,1.4,1995,245.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1372 cc,71 hp,Arkadan İtiş,"6,6 lt",52 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,239000.0
40062014,14 Mayıs 2026,Tofaş,Serçe,,1993,250.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1239 cc,65 hp,Arkadan İtiş,,44 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,105000.0
40059341,14 Mayıs 2026,Tofaş,Şahin,1.4 ie,2000,1.000.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1372 cc,71 hp,Arkadan İtiş,,52 lt,"1 değişen, 12 boyalı",Takasa Uygun,Galeriden,İkinci El,115000.0
40056425,14 Mayıs 2026,Tofaş,Doğan,SL,1993,110.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,145000.0
40053908,14 Mayıs 2026,Tofaş,Kartal,SLX,1996,99.999 km,Düz,LPG & Benzin,Station wagon,Gri,1581 cc,83 hp,Arkadan İtiş,,52 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,260000.0
40053873,14 Mayıs 2026,Tofaş,Kartal,SLX,1997,350.250 km,Düz,LPG & Benzin,Station wagon,Gri,1581 cc,83 hp,Arkadan İtiş,,52 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,169500.0
40053870,14 Mayıs 2026,Tofaş,Kartal,SLX,1994,250.000 km,Düz,LPG & Benzin,Station wagon,Turkuaz,1581 cc,83 hp,Arkadan İtiş,,52 lt,11 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,148750.0
40053590,14 Mayıs 2026,Tofaş,Doğan,SLX,1994,100.000 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,215000.0
40053583,14 Mayıs 2026,Tofaş,Doğan,SLX,1993,99.999 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,175000.0
40053537,14 Mayıs 2026,Tofaş,Doğan,SLX,1993,111.111 km,Düz,LPG & Benzin,Sedan,Bej,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,199000.0
40053522,14 Mayıs 2026,Tofaş,Doğan,SLX,1993,30.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,Arkadan İtiş,,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,155000.0
40053347,14 Mayıs 2026,Tofaş,Doğan,SL,1992,111.111 km,Düz,LPG & Benzin,Sedan,Füme,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,120000.0
40051881,14 Mayıs 2026,Tofaş,Şahin,1.6,1998,150.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,51 - 75 HP,Arkadan İtiş,,52 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,İkinci El,195000.0
40051715,14 Mayıs 2026,Tofaş,Doğan,L,1989,111.111 km,Düz,LPG & Benzin,Sedan,Kahverengi,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,122000.0
40051709,14 Mayıs 2026,Tofaş,Doğan,L,1991,275.000 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,1 değişen,Takasa Uygun,Galeriden,İkinci El,155000.0
40051697,14 Mayıs 2026,Tofaş,Doğan,L,1990,250.000 km,Düz,LPG & Benzin,Sedan,Siyah,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,147000.0
40051678,14 Mayıs 2026,Tofaş,Doğan,L,1992,100.000 km,Düz,LPG & Benzin,Sedan,Füme,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,125000.0
40051673,14 Mayıs 2026,Tofaş,Doğan,L,1988,200.000 km,Düz,LPG & Benzin,Sedan,Gri,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,1 değişen,Takasa Uygun,Galeriden,İkinci El,89900.0
40051668,14 Mayıs 2026,Tofaş,Doğan,L,1988,200.000 km,Düz,LPG & Benzin,Sedan,Füme,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,96000.0
40050014,14 Mayıs 2026,Tofaş,Şahin,1.6,1993,60.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,76 - 100 HP,Arkadan İtiş,,52 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,410000.0
40042240,14 Mayıs 2026,Tofaş,Doğan,SLX,1993,90.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1581 cc,83 hp,Arkadan İtiş,,50 lt,11 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,190750.0
