İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
Kopyalandı35848016,16 Aralık 2025,Kia,Rio,1.4 CRDi Fancy,2013,150.000 km,Düz,Dizel,Hatchback/5,Beyaz,1396 cc,90 hp,Önden Çekiş,"4,5 lt",43 lt,Tamamı orjinal,,Sahibinden,İkinci El,715000.0
Kopyalandı35842083,16 Aralık 2025,Kia,Rio,1.25 CVVT Fancy,2012,333.000 km,Düz,Benzin,Hatchback/5,Gri (metalik),1248 cc,85 hp,Önden Çekiş,"5,1 lt",43 lt,9 boyalı,,Sahibinden,İkinci El,469000.0
Kopyalandı35865523,15 Aralık 2025,Kia,Ceed,1.6 CRDi Concept Plus,2012,333.450 km,Otomatik,Dizel,Hatchback/5,Beyaz,1582 cc,128 hp,Önden Çekiş,"5,5 lt",53 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,750000.0
Kopyalandı35872350,15 Aralık 2025,Kia,Ceed,1.6 CRDi Motion,2011,198.000 km,Düz,Dizel,Hatchback/5,Beyaz,1582 cc,115 hp,Önden Çekiş,"4,4 lt",53 lt,"2 değişen, 5 boyalı",,Sahibinden,İkinci El,560000.0
Kopyalandı35872309,15 Aralık 2025,Kia,Magentis,2.0 SE,2005,267.000 km,Düz,LPG & Benzin,Sedan,Gri,1997 cc,136 hp,Önden Çekiş,"8,8 lt",65 lt,Belirtilmemiş,,Sahibinden,İkinci El,259000.0
Kopyalandı35862065,15 Aralık 2025,Kia,Cerato,1.5 CRDi Advance,2005,295.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1493 cc,102 hp,Önden Çekiş,"4,9 lt",55 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,350000.0
Kopyalandı35858739,15 Aralık 2025,Kia,Rio,1.4 CVVT Elegance Konfor,2022,34.924 km,Otomatik,Benzin,Hatchback/5,Lacivert,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,1250000.0
Kopyalandı35841756,15 Aralık 2025,Kia,Picanto,1.0 MPI,2020,75.000 km,Otomatik,Benzin,Hatchback/5,Gri (Gümüş),998 cc,67 hp,Önden Çekiş,"5,3 lt",35 lt,Belirtilmemiş,,Sahibinden,İkinci El,910000.0
Kopyalandı35829672,15 Aralık 2025,Kia,Ceed,1.6 CRDi Concept Plus SW,2014,160.000 km,Düz,Dizel,Station wagon,Beyaz,1582 cc,128 hp,Önden Çekiş,"4,5 lt",53 lt,"1 değişen, 1 boyalı",,Sahibinden,İkinci El,825000.0
Kopyalandı35838710,15 Aralık 2025,Kia,Cerato,1.6 MPI Prestige,2022,51.000 km,Otomatik,Benzin,Sedan,Beyaz,1591 cc,128 hp,Önden Çekiş,"7,3 lt",50 lt,Belirtilmemiş,,Sahibinden,İkinci El,1680000.0
Kopyalandı35861878,15 Aralık 2025,Kia,Rio,1.25 CVVT Natty,2014,82.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1248 cc,85 hp,Önden Çekiş,"5,1 lt",43 lt,Tamamı orjinal,,Sahibinden,İkinci El,710000.0
Kopyalandı30840869,15 Aralık 2025,Kia,Rio,1.4 CRDi Fancy,2012,265.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1396 cc,90 hp,Önden Çekiş,"4,5 lt",43 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,650000.0
Kopyalandı35849316,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022,74.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,1049900.0
Kopyalandı34539604,15 Aralık 2025,Kia,Rio,1.4 CVVT Concept,2017,86.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,İkinci El,1023500.0
Kopyalandı32566417,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022,38.500 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Belirtilmemiş,Takasa Uygun,Yetkili Bayiden,İkinci El,1159000.0
Kopyalandı35849108,15 Aralık 2025,Kia,Rio,1.2 MPI Cool,2021,39.000 km,Düz,Benzin,Hatchback/5,Gri,1197 cc,84 hp,Önden Çekiş,,,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,889000.0
Kopyalandı34469129,15 Aralık 2025,Kia,Rio,1.4 EX Advance,2006,249.000 km,Düz,LPG & Benzin,Sedan,Gri,1399 cc,97 hp,Önden Çekiş,"6,2 lt",45 lt,6 boyalı,Takasa Uygun,Galeriden,İkinci El,399000.0
Kopyalandı35848285,15 Aralık 2025,Kia,Cerato,1.6 CRDi Concept Plus,2016,161.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,950000.0
Kopyalandı35848283,15 Aralık 2025,Kia,Cerato,1.6 MPI Comfort,2016,99.000 km,Düz,Benzin,Sedan,Beyaz,1591 cc,130 hp,Önden Çekiş,"6,7 lt",50 lt,1 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,1120000.0
Kopyalandı32942298,15 Aralık 2025,Kia,Cerato,1.5 CRDi LX,2008,235.000 km,Düz,Dizel,Sedan,Şampanya,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,1 boyalı,Takasa Uygun,Galeriden,İkinci El,495000.0
Kopyalandı35847993,15 Aralık 2025,Kia,Rio,1.5 CRDi EX Comfort,2009,207.000 km,Düz,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,4 boyalı,Takasa Uygun,Galeriden,İkinci El,485000.0
Kopyalandı35847992,15 Aralık 2025,Kia,Rio,1.5 CRDi EX Comfort,2006,300.000 km,Düz,Dizel,Sedan,Siyah,1493 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,327500.0
Kopyalandı35847983,15 Aralık 2025,Kia,Rio,1.5 CRDi Trend,2009,216.000 km,Düz,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"2 değişen, 5 boyalı",Takasa Uygun,Galeriden,İkinci El,425000.0
Kopyalandı35847960,15 Aralık 2025,Kia,Picanto,1.0 MPI,2020,104.000 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,,,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,858500.0
Kopyalandı35847955,15 Aralık 2025,Kia,Picanto,1.25 MPI Cool,2023,26.760 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1085000.0
Kopyalandı35847954,15 Aralık 2025,Kia,Picanto,1.0 MPI,2023,40.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,,,5 boyalı,Takasa Uygun,Galeriden,İkinci El,904950.0
Kopyalandı35847952,15 Aralık 2025,Kia,Picanto,1.25 MPI Cool,2023,6.001 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1065000.0
Kopyalandı35847950,15 Aralık 2025,Kia,Picanto,1.1 EX,2007,194.000 km,Düz,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,,,"2 değişen, 7 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,310000.0
Kopyalandı35847949,15 Aralık 2025,Kia,Picanto,1.1 Hiper,2008,214.000 km,Düz,Dizel,Hatchback/5,Gri,1086 cc,65 hp,Önden Çekiş,"5,2 lt",35 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,385000.0
Kopyalandı35847873,15 Aralık 2025,Kia,Ceed,1.0 Cool Tekno,2021,62.000 km,Düz,Hibrit,Hatchback/5,Kırmızı,998 cc,100 hp,Önden Çekiş,"4,7 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1349000.0
Kopyalandı35847872,15 Aralık 2025,Kia,Ceed,1.6 CRDi Concept Plus,2012,233.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1582 cc,128 hp,Önden Çekiş,"5,5 lt",53 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,İkinci El,849000.0
Kopyalandı35348595,15 Aralık 2025,Kia,Ceed,1.6 CRDi Concept Plus,2012,155.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1582 cc,128 hp,Önden Çekiş,"5,5 lt",53 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1055000.0
Kopyalandı34675110,15 Aralık 2025,Kia,Ceed,1.6 CRDi Motion,2011,199.500 km,Düz,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"1 değişen, 4 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,625000.0
Kopyalandı35837194,15 Aralık 2025,Kia,Ceed,1.6 CRDi Concept Plus,2015,158.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1582 cc,136 hp,Önden Çekiş,"4,2 lt",53 lt,3 boyalı,Takasa Uygun,Sahibinden,İkinci El,1149000.0
Kopyalandı35853254,15 Aralık 2025,Kia,Cerato,1.6 EX Advance,2009,273.000 km,Düz,Dizel,Sedan,Mavi (metalik),1582 cc,115 hp,Önden Çekiş,"4,9 lt",55 lt,4 boyalı,,Sahibinden,İkinci El,450000.0
Kopyalandı35828121,15 Aralık 2025,Kia,Cerato,1.6 EX Comfort,2006,230.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1599 cc,105 hp,Önden Çekiş,7 lt,55 lt,"2 değişen, 4 boyalı",,Sahibinden,İkinci El,450000.0
Kopyalandı35827921,15 Aralık 2025,Kia,Cerato,1.6 GSL Comfort,2010,178.000 km,Düz,LPG & Benzin,Sedan,Füme,1591 cc,126 hp,Önden Çekiş,"6,7 lt",52 lt,6 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,585000.0
Kopyalandı33612522,15 Aralık 2025,Kia,Ceed,1.6 CRDi Concept,2013,221.500 km,Otomatik,Dizel,Hatchback/5,Beyaz,1582 cc,128 hp,Önden Çekiş,"5,5 lt",53 lt,"1 değişen, 5 boyalı",Takasa Uygun,Sahibinden,İkinci El,795000.0
Kopyalandı35826629,15 Aralık 2025,Kia,Cerato,1.6 CRDi Concept Plus,2016,181.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,1180000.0
Kopyalandı35825708,15 Aralık 2025,Kia,Pride,1.3 DLX,2000,190.600 km,Otomatik,Benzin,Station wagon,Beyaz,1324 cc,64 hp,Önden Çekiş,"6,8 lt",37 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,200000.0
Kopyalandı35825520,15 Aralık 2025,Kia,Cerato,1.5 CRDi LX,2006,325.000 km,Düz,Dizel,Hatchback/5,Beyaz,1493 cc,102 hp,Önden Çekiş,"4,9 lt",55 lt,Tamamı boyalı,,Sahibinden,İkinci El,330000.0
Kopyalandı35843858,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool Tekno,2023,70.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,,Sahibinden,İkinci El,1130000.0
Kopyalandı35823913,15 Aralık 2025,Kia,Pride,1.3 DLX,2000,210.000 km,Düz,LPG & Benzin,Station wagon,Lacivert,1324 cc,64 hp,Önden Çekiş,"6,8 lt",37 lt,Tamamı boyalı,,Sahibinden,İkinci El,205000.0
Kopyalandı35843858,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool Tekno,2023,70.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,,Sahibinden,İkinci El,1130000.0
Kopyalandı35823913,15 Aralık 2025,Kia,Pride,1.3 DLX,2000,210.000 km,Düz,LPG & Benzin,Station wagon,Lacivert,1324 cc,64 hp,Önden Çekiş,"6,8 lt",37 lt,Tamamı boyalı,,Sahibinden,İkinci El,205000.0
Kopyalandı35348742,15 Aralık 2025,Kia,Rio,1.4 CVVT Comfort,2015,52.000 km,Otomatik,Benzin,Hatchback/5,Gri,1396 cc,109 hp,Önden Çekiş,"6,3 lt",43 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,İkinci El,879999.0
Kopyalandı35348604,15 Aralık 2025,Kia,Ceed,1.6 CRDi Premium,2013,199.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,949000.0
Kopyalandı35321997,15 Aralık 2025,Kia,Rio,1.4 CVVT Elegance,2018,119.000 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,Önden Çekiş,"5,9 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,969500.0
Kopyalandı35313916,15 Aralık 2025,Kia,Ceed,1.6 CRDi Motion,2012,83.000 km,Otomatik,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"1 değişen, 7 boyalı",Takasa Uygun,Galeriden,İkinci El,825000.0
Kopyalandı35313695,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022,142.000 km,Otomatik,Benzin,Hatchback/5,Füme,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,990000.0
Kopyalandı35223721,15 Aralık 2025,Kia,Cerato,1.6 CRDi Concept Plus,2016,169.000 km,Yarı Otomatik,Dizel,Sedan,Kırmızı,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1139000.0
Kopyalandı34234984,15 Aralık 2025,Kia,Rio,1.4 CVVT Comfort,2017,24.000 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,,,2 boyalı,Takasa Uygun,Galeriden,İkinci El,1079000.0
Kopyalandı32692879,15 Aralık 2025,Kia,Ceed,1.6 CRDi Motion,2012,279.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,5 boyalı,Takasa Uygun,Galeriden,İkinci El,595000.0
Kopyalandı35837317,15 Aralık 2025,Kia,Cerato,1.6 CRDi Prestige,2018,210.000 km,Yarı Otomatik,Dizel,Sedan,Gri (metalik),1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Sahibinden,İkinci El,970000.0
Kopyalandı35719494,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022,79.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,2 boyalı,Takasa Uygun,Galeriden,İkinci El,1100000.0
Kopyalandı35719485,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022,85.000 km,Otomatik,Benzin,Hatchback/5,Füme,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,2 değişen,Takasa Uygun,Galeriden,İkinci El,1050000.0
Kopyalandı35698868,15 Aralık 2025,Kia,Cerato,1.6 CRDi Concept Plus,2016,212.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,"2 değişen, 6 boyalı",Takasa Uygun,Galeriden,İkinci El,825000.0
Kopyalandı35697540,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2018,105.000 km,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1015000.0
Kopyalandı34753605,15 Aralık 2025,Kia,Cerato,1.6 CRDi Concept Plus,2016,228.125 km,Yarı Otomatik,Dizel,Sedan,Kırmızı,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,"4 değişen, 4 boyalı",Takasa Uygun,Galeriden,İkinci El,778750.0
Kopyalandı33706913,15 Aralık 2025,Kia,Rio,1.4 CVVT Fancy,2014,286.500 km,Düz,Benzin,Sedan,Siyah,1396 cc,109 hp,Önden Çekiş,"5,5 lt",43 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,669000.0
Kopyalandı33356030,15 Aralık 2025,Kia,Cerato,1.6 GSL Concept,2011,185.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,675000.0
Kopyalandı33081602,15 Aralık 2025,Kia,Rio,1.4 CRDi Concept,2015,192.000 km,Düz,Dizel,Hatchback/5,Beyaz,1396 cc,90 hp,Önden Çekiş,"3,9 lt",43 lt,6 boyalı,Takasa Uygun,Galeriden,İkinci El,702500.0
Kopyalandı33030305,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022,127.000 km,Otomatik,Benzin,Hatchback/5,Gri,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,990000.0
Kopyalandı33030305,15 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022,127.000 km,Otomatik,Benzin,Hatchback/5,Gri,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,990000.0
Kopyalandı32693658,15 Aralık 2025,Kia,Stinger,2.0 GDI GT Line,2019,80.000 km,Otomatik,Benzin,Coupe,Gri,1998 cc,244 hp,Arkadan İtiş,"8,2 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,3150000.0
Kopyalandı31469754,15 Aralık 2025,Kia,Cerato,1.6 CRDi Concept Plus,2016,135.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1165000.0
Kopyalandı31011745,15 Aralık 2025,Kia,Magentis,2.0 CRDi,2008,245.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,,,10 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,535000.0
Kopyalandı35395100,14 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2022,65.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,1059000.0
Kopyalandı35293209,14 Aralık 2025,Kia,Rio,1.4 CRDi Fancy,2013,153.000 km,Düz,Dizel,Hatchback/5,Beyaz,1396 cc,90 hp,Önden Çekiş,"4,5 lt",43 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,İkinci El,715000.0
Kopyalandı30306081,14 Aralık 2025,Kia,Ceed,1.6 CRDi Concept Plus,2015,100.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1582 cc,136 hp,Önden Çekiş,4 lt,53 lt,1 boyalı,,Sahibinden,İkinci El,980000.0
Kopyalandı35285973,14 Aralık 2025,Kia,Ceed,1.4 Cool Tekno,2020,135.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,Önden Çekiş,6 lt,50 lt,1 değişen,Takasa Uygun Değil,Galeriden,İkinci El,1100000.0
Kopyalandı35826487,14 Aralık 2025,Kia,Cerato,1.6 CRDi Concept,2017,149.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden,İkinci El,963000.0
Kopyalandı35823271,14 Aralık 2025,Kia,Ceed,1.6 CRDi Comfort,2015,148.000 km,Düz,Dizel,Hatchback/5,Beyaz,1582 cc,128 hp,Önden Çekiş,"4,3 lt",53 lt,Tamamı orjinal,,Sahibinden,İkinci El,925000.0
Kopyalandı35822609,14 Aralık 2025,Kia,Rio,1.4 CRDi Concept,2015,142.013 km,Düz,Dizel,Hatchback/5,Beyaz,1396 cc,90 hp,Önden Çekiş,"3,9 lt",43 lt,2 boyalı,Takasa Uygun,Sahibinden,İkinci El,750000.0
Kopyalandı35822701,14 Aralık 2025,Kia,Rio,1.4 CRDi Concept,2015,252.000 km,Düz,Dizel,Hatchback/5,Beyaz,1396 cc,90 hp,Önden Çekiş,"3,9 lt",43 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,600000.0
Kopyalandı35820451,14 Aralık 2025,Kia,Cerato,1.6 EX Advance,2008,238.590 km,Düz,Dizel,Sedan,Siyah,1582 cc,115 hp,Önden Çekiş,"4,9 lt",55 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,540000.0
Kopyalandı35819896,14 Aralık 2025,Kia,Ceed,1.6 CRDi Motion,2011,270.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1582 cc,115 hp,Önden Çekiş,"5,6 lt",53 lt,10 boyalı,,Sahibinden,İkinci El,581500.0
Kopyalandı35819180,14 Aralık 2025,Kia,Sephia,1.6 SLX,1998,265.000 km,Otomatik,LPG & Benzin,Sedan,Kahverengi,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,140000.0
Kopyalandı35818014,14 Aralık 2025,Kia,Carens,2.0 CRDi,2007,105.000 km,Düz,Dizel,MPV,Gri,1801 - 2000 cm3,-,-,,,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,645000.0
Kopyalandı30931304,14 Aralık 2025,Kia,Rio,1.4 CRDi Comfort,2015,177.000 km,Düz,Dizel,Hatchback/5,Beyaz,1396 cc,90 hp,Önden Çekiş,"3,9 lt",43 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,730000.0
Kopyalandı35816255,14 Aralık 2025,Kia,Ceed,1.6 CRDi Motion,2011,187.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1582 cc,115 hp,Önden Çekiş,"5,6 lt",53 lt,Belirtilmemiş,,Sahibinden,İkinci El,687000.0
Kopyalandı33439618,14 Aralık 2025,Kia,Picanto,1.0 MPI,2022,35.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,998 cc,67 hp,Önden Çekiş,"5,3 lt",35 lt,Tamamı orjinal,,Sahibinden,İkinci El,958000.0
Kopyalandı27531834,14 Aralık 2025,Kia,Sephia,1.5 LS,1999,289.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1498 cc,88 hp,Önden Çekiş,"7,9 lt",50 lt,Tamamı orjinal,,Sahibinden,İkinci El,235000.0
Kopyalandı27531834,14 Aralık 2025,Kia,Sephia,1.5 LS,1999,289.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1498 cc,88 hp,Önden Çekiş,"7,9 lt",50 lt,Tamamı orjinal,,Sahibinden,İkinci El,235000.0
Kopyalandı31945497,14 Aralık 2025,Kia,Cerato,1.6 CRDi Prestige,2018,243.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,860000.0
Kopyalandı28854166,14 Aralık 2025,Kia,Pride,1.3 GLXi,2001,230.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1324 cc,64 hp,Önden Çekiş,"6,8 lt",38 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,90000.0
Kopyalandı35814430,14 Aralık 2025,Kia,Rio,1.4 CRDi Natty,2014,196.000 km,Düz,Dizel,Hatchback/5,Gri,1396 cc,90 hp,Önden Çekiş,"4,5 lt",43 lt,Tamamı orjinal,,Sahibinden,İkinci El,627000.0
Kopyalandı35814512,14 Aralık 2025,Kia,Rio,1.4 CVVT Cool,2021,74.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,1150000.0
Kopyalandı35661362,14 Aralık 2025,Kia,Cerato,1.6 CRDi Concept Plus,2016,239.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,Tamamı orjinal,,Sahibinden,İkinci El,859000.0
Kopyalandı35807896,14 Aralık 2025,Kia,Ceed,1.6 CRDi Motion,2011,269.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1582 cc,115 hp,Önden Çekiş,"5,6 lt",53 lt,10 boyalı,,Sahibinden,İkinci El,575000.0
Kopyalandı28478460,14 Aralık 2025,Kia,Cerato,1.6 LX Basic,2008,230.000 km,Düz,Benzin,Sedan,Siyah,1591 cc,122 hp,Önden Çekiş,"6,7 lt",55 lt,3 değişen,Takasa Uygun Değil,Galeriden,İkinci El,467500.0
Kopyalandı35793581,14 Aralık 2025,Kia,Cerato,1.6 CRDi Concept Plus,2016,145.000 km,Otomatik,Dizel,Sedan,Beyaz,,,,,,1 boyalı,,Sahibinden,İkinci El,1199000.0
Kopyalandı35790453,14 Aralık 2025,Kia,Picanto,1.1 EX,2005,200.000 km,Otomatik,Benzin,Hatchback/5,Gri,1086 cc,65 hp,Önden Çekiş,"6,1 lt",35 lt,1 değişen,,Sahibinden,İkinci El,430000.0
Kopyalandı35809920,14 Aralık 2025,Kia,Cerato,1.5 CRDi Advance,2006,340.000 km,Düz,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,12 boyalı,Takasa Uygun,Galeriden,İkinci El,305000.0
Kopyalandı35696318,14 Aralık 2025,Kia,Picanto,1.0 MPI,2022,79.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,895000.0
Kopyalandı35313914,14 Aralık 2025,Kia,Ceed,1.6 CRDi Motion,2008,159.000 km,Otomatik,Dizel,Hatchback/5,Siyah,1582 cc,115 hp,Önden Çekiş,"5,9 lt",53 lt,"2 değişen, 4 boyalı",Takasa Uygun,Galeriden,İkinci El,625950.0
Kopyalandı35313913,14 Aralık 2025,Kia,Ceed,1.6 CRDi Cool SW,2010,248.000 km,Düz,Dizel,Station wagon,Beyaz,1582 cc,90 hp,Önden Çekiş,"4,6 lt",53 lt,"2 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,499000.0
